network_size,beta,max_nb_found_pattern
15,0.001,1
15,0.012,1
15,0.023,1
15,0.034,1
15,0.045,1
15,0.056,1
15,0.067,1
15,0.078,1
15,0.089,1
15,0.1,1
20,0.001,2
20,0.012,2
20,0.023,2
20,0.034,2
20,0.045,2
20,0.056,2
20,0.067,2
20,0.078,2
20,0.089,2
20,0.1,2
15,0.001,2
15,0.012,2
15,0.023,2
15,0.034,2
15,0.045,2
15,0.056,2
15,0.067,2
15,0.078,2
15,0.089,2
15,0.1,2
20,0.001,3
20,0.012,3
20,0.023,3
20,0.034,3
20,0.045,3
20,0.056,3
20,0.067,3
20,0.078,3
20,0.089,3
20,0.1,3
25,0.001,3
25,0.012,3
25,0.023,3
25,0.034,3
25,0.045,3
25,0.056,3
25,0.067,3
25,0.078,3
25,0.089,3
25,0.1,3
30,0.001,4
30,0.012,4
30,0.023,4
30,0.034,4
30,0.045,4
30,0.056,4
30,0.067,4
30,0.078,4
30,0.089,4
30,0.1,4
40,0.001,6
40,0.012,6
40,0.023,6
40,0.034,6
40,0.045,6
40,0.056,6
40,0.067,6
40,0.078,6
40,0.089,6
40,0.1,6
45,0.001,7
45,0.012,7
45,0.023,7
45,0.034,7
45,0.045,7
45,0.056,7
45,0.067,7
45,0.078,7
45,0.089,7
45,0.1,7
50,0.001,7
50,0.012,7
50,0.023,7
50,0.034,7
50,0.045,7
50,0.056,7
50,0.067,7
50,0.078,7
50,0.089,7
50,0.1,7
55,0.001,8
55,0.012,8
55,0.023,8
55,0.034,8
55,0.045,8
55,0.056,8
55,0.067,8
55,0.078,8
55,0.089,8
55,0.1,8
