sim_ID,beta,stop_on_spurious,noise_dynamics,delta,init_drive,momentum_coef,stddev_dynamics,learning_rate,drive_target,leak,num_patterns,nb_winners,sparsity,distance_noise_level,save_trajectories,network_size,training_iterations,stop_on_all_found,max_queries,query_iter,nb_fnd_pat,nb_spurious,nb_iter_biased,nb_iter_free,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,0,1,0,843,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,1,2,0,1489,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,2,2,0,975,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,3,3,0,1392,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,4,3,0,1238,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,5,3,0,1365,3,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,6,4,0,1383,6,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,7,4,0,1706,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,8,5,0,858,3,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,9,6,0,849,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,10,7,0,4220,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,11,8,0,982,3,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,12,8,0,1420,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,13,8,0,1074,3,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,14,8,0,1227,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,15,8,0,829,3,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,16,8,0,808,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,17,8,0,949,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,18,8,0,738,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,19,9,0,1256,3,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,20,9,0,1744,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,21,9,0,912,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,22,10,0,1566,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,23,10,0,856,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,24,10,0,1170,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,25,10,0,1887,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,26,10,0,793,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,27,10,0,1167,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,28,10,0,6402,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,29,10,0,3014,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,30,10,0,1564,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,31,10,0,1044,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,32,10,0,996,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,33,10,0,919,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,34,10,0,1289,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,35,10,0,2291,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,36,10,0,1304,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,37,10,0,1234,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,38,10,0,1656,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,39,10,0,1614,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,40,10,0,3311,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,41,10,0,1411,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,42,10,0,1450,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,43,10,0,1243,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,44,10,0,4172,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,45,10,0,1561,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,46,10,0,1185,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,47,10,0,2330,2,
0,0.1,1,1,0.01,0.5,0.9,0.01,0.0001,6,1,10,50,0.5,0,0,100,925,0,200,48,10,1,10001,2,
