query_iter,nb_fnd_pat,nb_spurious,nb_iter_biased,nb_iter_free,
0,1,0,843,2,
1,2,0,1489,2,
2,2,0,975,2,
3,3,0,1392,2,
4,3,0,1238,2,
5,3,0,1365,3,
6,4,0,1383,6,
7,4,0,1706,2,
8,5,0,858,3,
9,6,0,849,2,
10,7,0,4220,2,
11,8,0,982,3,
12,8,0,1420,2,
13,8,0,1074,3,
14,8,0,1227,2,
15,8,0,829,3,
16,8,0,808,2,
17,8,0,949,2,
18,8,0,738,2,
19,9,0,1256,3,
20,9,0,1744,2,
21,9,0,912,2,
22,10,0,1566,2,
23,10,0,856,2,
24,10,0,1170,2,
25,10,0,1887,2,
26,10,0,793,2,
27,10,0,1167,2,
28,10,0,6402,2,
29,10,0,3014,2,
30,10,0,1564,2,
31,10,0,1044,2,
32,10,0,996,2,
33,10,0,919,2,
34,10,0,1289,2,
35,10,0,2291,2,
36,10,0,1304,2,
37,10,0,1234,2,
38,10,0,1656,2,
39,10,0,1614,2,
40,10,0,3311,2,
41,10,0,1411,2,
42,10,0,1450,2,
43,10,0,1243,2,
44,10,0,4172,2,
45,10,0,1561,2,
46,10,0,1185,2,
47,10,0,2330,2,
48,10,1,10001,2,
