sim_ID,delta,noise_dynamics,stop_on_spurious,beta,init_drive,leak,momentum_coef,stddev_dynamics,learning_rate,drive_target,num_patterns,nb_winners,sparsity,distance_noise_level,save_trajectories,network_size,training_iterations,stop_on_all_found,max_queries,query_iter,nb_fnd_pat,nb_spurious,nb_iter_biased,nb_iter_free,
2,0.01,1,1,0.2,0.5,0.25,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,297,0,200,0,1,0,4182,2,
2,0.01,1,1,0.2,0.5,0.25,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,297,0,200,1,2,0,10001,8534,
2,0.01,1,1,0.2,0.5,0.25,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,297,0,200,2,3,0,9672,6,
2,0.01,1,1,0.2,0.5,0.25,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,297,0,200,3,3,1,10001,10001,
6,0.01,1,1,0.05,0.5,1,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1270,0,200,0,1,0,1127,2,
6,0.01,1,1,0.05,0.5,1,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1270,0,200,1,1,1,3028,5,
1,0.01,1,1,0.1,0.5,0.25,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,297,0,200,0,1,0,4296,2,
1,0.01,1,1,0.1,0.5,0.25,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,297,0,200,1,2,0,10001,6407,
1,0.01,1,1,0.1,0.5,0.25,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,297,0,200,2,3,0,10001,2415,
1,0.01,1,1,0.1,0.5,0.25,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,297,0,200,3,4,0,6139,6,
1,0.01,1,1,0.1,0.5,0.25,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,297,0,200,4,4,1,10001,1,
10,0.01,1,1,0.1,0.5,1.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1918,0,200,0,1,0,768,2,
10,0.01,1,1,0.1,0.5,1.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1918,0,200,1,1,1,1651,3,
7,0.01,1,1,0.1,0.5,1,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1270,0,200,0,1,0,1135,4,
7,0.01,1,1,0.1,0.5,1,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1270,0,200,1,2,0,2321,2,
7,0.01,1,1,0.1,0.5,1,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1270,0,200,2,3,0,823,2,
7,0.01,1,1,0.1,0.5,1,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1270,0,200,3,4,0,1770,4,
7,0.01,1,1,0.1,0.5,1,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1270,0,200,4,4,1,2474,2,
5,0.01,1,1,0.2,0.5,0.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,622,0,200,0,1,0,2179,5,
5,0.01,1,1,0.2,0.5,0.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,622,0,200,1,2,0,10001,27,
5,0.01,1,1,0.2,0.5,0.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,622,0,200,2,3,0,8672,2,
5,0.01,1,1,0.2,0.5,0.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,622,0,200,3,4,0,3084,12,
5,0.01,1,1,0.2,0.5,0.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,622,0,200,4,5,0,10001,3074,
5,0.01,1,1,0.2,0.5,0.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,622,0,200,5,6,0,2621,2,
5,0.01,1,1,0.2,0.5,0.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,622,0,200,6,6,1,6188,2,
13,0.01,1,1,0.1,0.5,2,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,2566,0,200,0,1,0,583,2,
13,0.01,1,1,0.1,0.5,2,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,2566,0,200,1,1,1,1453,4,
4,0.01,1,1,0.1,0.5,0.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,622,0,200,0,1,0,2216,3,
4,0.01,1,1,0.1,0.5,0.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,622,0,200,1,2,0,3976,2,
4,0.01,1,1,0.1,0.5,0.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,622,0,200,2,3,0,2815,11,
4,0.01,1,1,0.1,0.5,0.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,622,0,200,3,4,0,1860,6,
4,0.01,1,1,0.1,0.5,0.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,622,0,200,4,4,0,5102,3,
4,0.01,1,1,0.1,0.5,0.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,622,0,200,5,5,0,6926,3,
4,0.01,1,1,0.1,0.5,0.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,622,0,200,6,6,0,2303,4,
4,0.01,1,1,0.1,0.5,0.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,622,0,200,7,7,0,8770,2,
4,0.01,1,1,0.1,0.5,0.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,622,0,200,8,8,0,2313,2,
4,0.01,1,1,0.1,0.5,0.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,622,0,200,9,9,0,4546,2,
4,0.01,1,1,0.1,0.5,0.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,622,0,200,10,9,1,6992,2,
8,0.01,1,1,0.2,0.5,1,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1270,0,200,0,1,0,1134,3,
8,0.01,1,1,0.2,0.5,1,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1270,0,200,1,2,0,2066,2,
8,0.01,1,1,0.2,0.5,1,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1270,0,200,2,3,0,1389,2,
8,0.01,1,1,0.2,0.5,1,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1270,0,200,3,4,0,990,2,
8,0.01,1,1,0.2,0.5,1,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1270,0,200,4,4,0,2218,2,
8,0.01,1,1,0.2,0.5,1,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1270,0,200,5,5,0,3788,3,
8,0.01,1,1,0.2,0.5,1,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1270,0,200,6,6,0,1215,3,
8,0.01,1,1,0.2,0.5,1,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1270,0,200,7,7,0,3969,3,
8,0.01,1,1,0.2,0.5,1,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1270,0,200,8,8,0,1208,2,
8,0.01,1,1,0.2,0.5,1,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1270,0,200,9,9,0,2546,2,
8,0.01,1,1,0.2,0.5,1,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1270,0,200,10,9,1,5113,2,
9,0.01,1,1,0.05,0.5,1.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1918,0,200,0,1,0,767,3,
9,0.01,1,1,0.05,0.5,1.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1918,0,200,1,1,0,1559,2,
9,0.01,1,1,0.05,0.5,1.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1918,0,200,2,1,1,1759,15,
11,0.01,1,1,0.2,0.5,1.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1918,0,200,0,1,0,763,5,
11,0.01,1,1,0.2,0.5,1.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1918,0,200,1,2,0,1142,2,
11,0.01,1,1,0.2,0.5,1.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1918,0,200,2,3,0,567,2,
11,0.01,1,1,0.2,0.5,1.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1918,0,200,3,4,0,1106,2,
11,0.01,1,1,0.2,0.5,1.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1918,0,200,4,5,0,983,2,
11,0.01,1,1,0.2,0.5,1.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1918,0,200,5,6,0,1456,2,
11,0.01,1,1,0.2,0.5,1.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1918,0,200,6,7,0,1247,2,
11,0.01,1,1,0.2,0.5,1.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1918,0,200,7,8,0,1216,2,
11,0.01,1,1,0.2,0.5,1.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1918,0,200,8,9,0,1407,2,
11,0.01,1,1,0.2,0.5,1.5,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,1918,0,200,9,9,1,2186,2,
14,0.01,1,1,0.2,0.5,2,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,2566,0,200,0,1,0,581,2,
14,0.01,1,1,0.2,0.5,2,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,2566,0,200,1,1,1,1267,2,
12,0.01,1,1,0.05,0.5,2,0.9,0.01,0.0001,6,15,50,0.5,0,0,100,2566,0,200,0,1,0,582,2,
