network_size,num_patterns,rho,sparsity,pattern_gen_time,pattern_gen_attempts,pattern_gen_collisions,pattern_gen_ok,collision_rate,train_time,train_iters,train_converged,train_final_error,train_plateau,train_ok,status
100,10,0.5,0.5,0.0045,10,0,True,0.0000,1.8443,253,True,0.098838,False,True,OK
100,20,0.5,0.5,0.0089,20,0,True,0.0000,0.8504,535,True,0.099963,False,True,OK
100,30,0.5,0.5,0.0121,30,0,True,0.0000,1.2607,778,True,0.099831,False,True,OK
100,40,0.5,0.5,0.0140,40,0,True,0.0000,1.7193,1145,True,0.099862,False,True,OK
100,50,0.5,0.5,0.0185,50,0,True,0.0000,2.4582,1701,True,0.099997,False,True,OK
100,60,0.5,0.5,0.0254,60,0,True,0.0000,3.8354,3068,True,0.099925,False,True,OK
100,70,0.5,0.5,0.0270,70,0,True,0.0000,7.0790,5509,True,0.099991,False,True,OK
100,80,0.5,0.5,0.0272,80,0,True,0.0000,12.9174,10000,False,1.011814,False,True,TRAINING_NOT_CONVERGED
100,90,0.5,0.5,0.0315,90,0,True,0.0000,12.8081,10000,False,5.886053,True,True,TRAINING_PLATEAU
100,100,0.5,0.5,0.0361,100,0,True,0.0000,12.5911,10000,False,6.828343,True,True,TRAINING_PLATEAU
200,10,0.5,0.5,0.0075,10,0,True,0.0000,0.1528,109,True,0.097244,False,True,OK
200,20,0.5,0.5,0.0140,20,0,True,0.0000,0.2854,210,True,0.098995,False,True,OK
200,30,0.5,0.5,0.0207,30,0,True,0.0000,0.4197,324,True,0.098646,False,True,OK
200,40,0.5,0.5,0.0279,40,0,True,0.0000,0.5044,393,True,0.099086,False,True,OK
200,50,0.5,0.5,0.0350,50,0,True,0.0000,0.6836,539,True,0.099467,False,True,OK
200,60,0.5,0.5,0.0414,60,0,True,0.0000,0.8683,683,True,0.099624,False,True,OK
200,70,0.5,0.5,0.0483,70,0,True,0.0000,1.1238,881,True,0.099709,False,True,OK
200,80,0.5,0.5,0.0559,80,0,True,0.0000,1.3141,1044,True,0.099978,False,True,OK
200,90,0.5,0.5,0.0742,90,0,True,0.0000,1.6611,1315,True,0.099782,False,True,OK
200,100,0.5,0.5,0.0703,100,0,True,0.0000,1.9998,1609,True,0.099829,False,True,OK
300,10,0.5,0.5,0.0116,10,0,True,0.0000,0.1410,99,True,0.097820,False,True,OK
300,20,0.5,0.5,0.0266,20,0,True,0.0000,0.2390,168,True,0.095418,False,True,OK
300,30,0.5,0.5,0.0364,30,0,True,0.0000,0.2799,201,True,0.098296,False,True,OK
300,40,0.5,0.5,0.0435,40,0,True,0.0000,0.3657,270,True,0.098365,False,True,OK
300,50,0.5,0.5,0.0533,50,0,True,0.0000,0.4183,318,True,0.098502,False,True,OK
300,60,0.5,0.5,0.0627,60,0,True,0.0000,0.5135,393,True,0.099132,False,True,OK
300,70,0.5,0.5,0.0753,70,0,True,0.0000,0.5789,448,True,0.099228,False,True,OK
300,80,0.5,0.5,0.1021,80,0,True,0.0000,0.7173,530,True,0.099389,False,True,OK
300,90,0.5,0.5,0.0934,90,0,True,0.0000,0.7648,590,True,0.099864,False,True,OK
300,100,0.5,0.5,0.1056,100,0,True,0.0000,0.8056,655,True,0.099589,False,True,OK
400,10,0.5,0.5,0.0145,10,0,True,0.0000,0.1187,93,True,0.082661,False,True,OK
400,20,0.5,0.5,0.0297,20,0,True,0.0000,0.1560,124,True,0.095862,False,True,OK
400,30,0.5,0.5,0.0424,30,0,True,0.0000,0.2085,151,True,0.098020,False,True,OK
400,40,0.5,0.5,0.0566,40,0,True,0.0000,0.2657,190,True,0.097997,False,True,OK
400,50,0.5,0.5,0.0724,50,0,True,0.0000,0.2926,231,True,0.098785,False,True,OK
400,60,0.5,0.5,0.0855,60,0,True,0.0000,0.3566,264,True,0.098485,False,True,OK
400,70,0.5,0.5,0.0999,70,0,True,0.0000,0.3768,296,True,0.098883,False,True,OK
400,80,0.5,0.5,0.1137,80,0,True,0.0000,0.4392,341,True,0.099948,False,True,OK
400,90,0.5,0.5,0.1263,90,0,True,0.0000,0.4959,393,True,0.099150,False,True,OK
400,100,0.5,0.5,0.1628,100,0,True,0.0000,0.5863,457,True,0.099449,False,True,OK
500,10,0.5,0.5,0.0178,10,0,True,0.0000,0.1238,94,True,0.099618,False,True,OK
500,20,0.5,0.5,0.0371,20,0,True,0.0000,0.1343,105,True,0.094303,False,True,OK
500,30,0.5,0.5,0.0540,30,0,True,0.0000,0.1575,121,True,0.097953,False,True,OK
500,40,0.5,0.5,0.0714,40,0,True,0.0000,0.1959,149,True,0.098325,False,True,OK
500,50,0.5,0.5,0.0882,50,0,True,0.0000,0.2373,182,True,0.099423,False,True,OK
500,60,0.5,0.5,0.1096,60,0,True,0.0000,0.2859,220,True,0.099887,False,True,OK
500,70,0.5,0.5,0.1243,70,0,True,0.0000,0.3276,253,True,0.099377,False,True,OK
500,80,0.5,0.5,0.1435,80,0,True,0.0000,0.3655,291,True,0.098722,False,True,OK
500,90,0.5,0.5,0.1601,90,0,True,0.0000,0.4345,338,True,0.098689,False,True,OK
500,100,0.5,0.5,0.2049,100,0,True,0.0000,0.4607,363,True,0.099771,False,True,OK
600,10,0.5,0.5,0.0259,10,0,True,0.0000,0.1238,93,True,0.093951,False,True,OK
600,20,0.5,0.5,0.0540,20,0,True,0.0000,0.1277,98,True,0.092571,False,True,OK
600,30,0.5,0.5,0.0672,30,0,True,0.0000,0.1341,104,True,0.098228,False,True,OK
600,40,0.5,0.5,0.0891,40,0,True,0.0000,0.1562,122,True,0.096314,False,True,OK
600,50,0.5,0.5,0.1119,50,0,True,0.0000,0.1988,151,True,0.099823,False,True,OK
600,60,0.5,0.5,0.1338,60,0,True,0.0000,0.2304,178,True,0.099299,False,True,OK
600,70,0.5,0.5,0.1541,70,0,True,0.0000,0.2679,201,True,0.097371,False,True,OK
600,80,0.5,0.5,0.1790,80,0,True,0.0000,0.3229,231,True,0.098963,False,True,OK
600,90,0.5,0.5,0.2218,90,0,True,0.0000,0.3476,252,True,0.099436,False,True,OK
600,100,0.5,0.5,0.2193,100,0,True,0.0000,0.3955,286,True,0.099932,False,True,OK
700,10,0.5,0.5,0.0424,10,0,True,0.0000,0.1395,92,True,0.099566,False,True,OK
